"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/src/Makefile", "Makefile", 0, 2, 0, 0, 0, 2
"/home/ysy/code/Os_wrtie/src/include/onix/arena.h", "C++", 0, 0, 20, 2, 7, 29
"/home/ysy/code/Os_wrtie/src/include/onix/global.h", "C", 38, 0, 0, 0, 3, 41
"/home/ysy/code/Os_wrtie/src/include/onix/stdio.h", "C++", 0, 0, 1, 0, 0, 1
"/home/ysy/code/Os_wrtie/src/include/onix/syscall.h", "C++", 0, 0, 2, 0, 0, 2
"/home/ysy/code/Os_wrtie/src/include/onix/task.h", "C++", 0, 0, 24, 2, 1, 27
"/home/ysy/code/Os_wrtie/src/include/onix/types.h", "C", 6, 0, 0, 0, 1, 7
"/home/ysy/code/Os_wrtie/src/kernel/arena.c", "C", 86, 0, 0, 18, 22, 126
"/home/ysy/code/Os_wrtie/src/kernel/gate.c", "C", 6, 0, 0, 4, 2, 12
"/home/ysy/code/Os_wrtie/src/kernel/global.c", "C", 33, 0, 0, 1, 6, 40
"/home/ysy/code/Os_wrtie/src/kernel/main.c", "C", 4, 0, 0, -2, 0, 2
"/home/ysy/code/Os_wrtie/src/kernel/memory.c", "C", -2, 0, 0, 0, 0, -2
"/home/ysy/code/Os_wrtie/src/kernel/task.c", "C", 40, 0, 0, 3, 8, 51
"/home/ysy/code/Os_wrtie/src/kernel/thread.c", "C", 6, 0, 0, 0, 2, 8
"/home/ysy/code/Os_wrtie/src/lib/printf.c", "C", 14, 0, 0, 0, 8, 22
"/home/ysy/code/Os_wrtie/src/lib/syscall.c", "C", 21, 0, 0, 0, 3, 24
"Total", "-", 252, 2, 47, 28, 63, 392